乳	孚 乙
乱	舌 乚
作	亻 乍
你	亻 尔
仓	人 㔾
个	人 丨
伦	亻 仑
做	亻 故
偷	亻 俞
家	宀 豕
优	亻 尤
全	人 王
凌	冫 夌
剂	齐 刂
割	害 刂
叫	口 丩
召	刀 口
味	口 未
唇	口 辰
吗	口 马
喷	口 贲
卖	十 买
奴	女 又
奶	女 乃
奸	女 干
妓	女 支
妹	女 未
娘	女 良
婊	女 表
妇	女 彐
媚	女 眉
妈	女 马
嫖	女 票
嫩	女 敕
子	了 一
孕	乃 子
宗	宀 示
寂	宀 叔
寞	宀 莫
射	身 寸
尼	尸 匕
屁	尸 比
屌	尸 吊
幻	幺 ㇆
幼	幺 力
厕	厂 则
强	弓 虽
影	景 彡
快	忄 夬
性	忄 生
感	咸 心
欲	谷 欠
房	户 方
抽	扌 由
拍	扌 白
招	扌 召
拳	𠔉 手
捏	扌 圼
揉	扌 柔
插	扌 臿
换	扌 奂
援	扌 爰
撮	扌 最
操	扌 品 木
擦	扌 察
教	孝 攵
昏	氏 日
春	龹 日
材	木 才
栓	木 全
校	木 交
棍	木 昆
欠	刀 人
杀	乂 木
比	匕 匕
汗	氵 干
沙	氵 少
油	氵 由
洞	氵 同
活	氵 舌
浪	氵 良
液	氵 夜
淫	氵 爫 壬
混	氵 昆
渣	氵 查
渴	氵 曷
浑	氵 军
沟	氵 勾
潮	氵 朝
蒙	艸 冡
炮	火 包
煞	刍 攵 灬
熟	孰 灬
爆	火 暴
烂	火 兰
狂	犭 王
狗	犭 句
猛	犭 孟
玛	王 马
麻	广 林
痹	疒 畀
痴	疒 知
白	丶 日
盗	次 皿
荡	艸 汤
眼	目 艮
砲	石 包
祖	礻 且
种	禾 中
穴	宀 八
笔	竹 毛
精	米 青
级	纟 及
丝	纟 纟
群	君 羊
聊	耳 卯
肉	冂 入 入
肏	入 肉
肛	月 工
肩	戶 月
胸	月 匈
脱	月 兑
臀	月 殿
卧	臣 卜
舔	舌 忝
色	刀 巴
苞	艸 包
草	艸 早
茎	艸 圣
菊	艸 匊
药	艸 约
蒂	艸 帝
蒲	艸 浦
虐	虍 匸 一
蛋	疋 虫
蜜	宓 虫
被	衤 皮
装	壮 衣
裸	衤 果
亵	执 衣
袜	衤 末
视	礻 见
诱	讠 秀
货	化 贝
贱	贝 戋
轮	车 仑
辣	辛 束
辱	辰 寸
迷	辶 米
送	辶 关
逼	辶 畐
道	辶 首
避	辶 辟
醉	酉 卒
院	阝 完
陪	阝 咅
阴	阝 月
杂	九 木
鸡	又 鸟
靡	麻 非
频	步 页
颜	彦 页
饥	饣 几
骚	马 蚤
魂	云 鬼
龟	刀 电
藥	艸 樂
陰	阝 侌
騷	馬 蚤
